City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,karratha,AU,78.64,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
561,praia,CV,78.8,clear sky,14.9215,-23.5087,LT Aparthotel
563,guiyang,CN,75.69,few clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
566,boyolangu,ID,78.13,broken clouds,-8.1181,111.8935,Yos ega cv
577,gunjur,GM,75.27,thunderstorm,13.2019,-16.7339,Kuba Lodge
579,santa fe,AR,73.0,clear sky,-31.6333,-60.7,Conquistador Hotel
580,morondava,MG,72.54,scattered clouds,-20.2833,44.2833,La Case Bambou
588,aravissos,GR,72.43,broken clouds,40.84,22.2956,Παλιο Μυλότοπος
595,altamira,BR,72.21,few clouds,-3.2033,-52.2064,Requinte Hotel
598,prachuap khiri khan,TH,79.11,scattered clouds,12.2167,99.75,ผกากรองรีสอร์ท
602,palmital,BR,77.76,clear sky,-22.7889,-50.2175,OROFINO HOTEL CLUBE
603,padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
615,mitsamiouli,KM,76.64,clear sky,-11.3847,43.2844,Foyer ADM
625,effingham,US,76.84,clear sky,32.3669,-81.3332,Countryside Village
629,elizabeth city,US,73.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
630,havelock,US,75.94,clear sky,34.8791,-76.9013,Sherwood Motel
633,itaituba,BR,73.35,overcast clouds,-4.2761,-55.9836,Hotel Campos
639,oussouye,SN,77.18,overcast clouds,12.485,-16.5469,Auberge du Routard
641,port-gentil,GA,77.4,broken clouds,-0.7193,8.7815,Fengshui Residence
649,ryotsu,JP,75.16,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
653,abu zabad,SD,77.99,overcast clouds,12.35,29.25,حامد محمد نور
656,shingu,JP,79.79,overcast clouds,33.7333,135.9833,Shingu UI Hotel
665,muroto,JP,75.24,overcast clouds,33.2833,134.15,Oota Ryokan
666,yeppoon,AU,73.18,broken clouds,-23.1333,150.7333,Villa Mar Colina
668,calabozo,VE,76.06,overcast clouds,8.9242,-67.4293,Hotel Giardini
673,hoa binh,VN,78.69,few clouds,20.8133,105.3383,Hoa Dao Hotel
676,anzio,IT,72.45,few clouds,41.4853,12.6179,Beauty Hotel & SPA
680,paramirim,BR,74.62,clear sky,-13.4425,-42.2389,Pousada Rio Pequeno
683,emerald,AU,77.34,broken clouds,-23.5333,148.1667,The Irish Village
691,oriximina,BR,75.16,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
