City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,los llanos de aridane,ES,2021-09-27 03:24:18,28.6585,-17.9182,70.12,69,75,9.22
196,san-pedro,CI,2021-09-27 03:24:18,4.7485,-6.6363,72.88,96,100,4.18
197,takoradi,GH,2021-09-27 03:24:19,4.8845,-1.7554,74.19,93,100,7.47
198,klaksvik,FO,2021-09-27 03:24:19,62.2266,-6.589,49.12,85,100,9.91
199,manzanillo,CU,2021-09-27 03:24:19,20.3433,-77.1167,77.54,87,34,8.37
200,puerto del rosario,ES,2021-09-27 03:24:20,28.5004,-13.8627,73.15,88,7,16.11
201,comodoro rivadavia,AR,2021-09-27 03:20:28,-45.8667,-67.5,46.26,42,0,11.5
202,nanortalik,GL,2021-09-27 03:24:21,60.1432,-45.2371,36.81,82,7,4.25
203,morondava,MG,2021-09-27 03:24:21,-20.2833,44.2833,73.47,85,5,6.91
204,port alberni,CA,2021-09-27 03:20:03,49.2413,-124.8028,56.93,93,100,3.0
205,tezu,IN,2021-09-27 03:19:38,27.9167,96.1667,89.06,51,77,1.97
206,saint-pierre,RE,2021-09-27 03:24:23,-21.3393,55.4781,71.28,73,75,3.44
207,pisco,PE,2021-09-27 03:24:23,-13.7,-76.2167,62.65,82,0,10.36
208,chulman,RU,2021-09-27 03:24:23,56.8479,124.9104,50.07,85,100,12.91
209,lasa,IT,2021-09-27 03:24:24,46.6166,10.7002,59.88,94,87,4.81
210,linxia,CN,2021-09-27 03:24:24,35.6003,103.2064,61.66,56,100,2.64
211,evensk,RU,2021-09-27 03:24:25,61.95,159.2333,44.98,44,13,3.11
212,mahibadhoo,MV,2021-09-27 03:21:15,3.7833,72.9667,81.66,78,100,15.82
213,rocky mountain house,CA,2021-09-27 03:23:52,52.3668,-114.9188,55.51,67,87,3.44
214,valparaiso,CL,2021-09-27 03:24:26,-33.0393,-71.6273,53.24,76,0,4.61
215,emba,KZ,2021-09-27 03:24:26,48.8264,58.1442,52.99,66,77,11.5
216,divnoye,RU,2021-09-27 03:24:27,45.9089,43.3547,54.84,69,97,11.03
217,sanmenxia,CN,2021-09-27 03:24:27,34.7747,111.1814,65.28,93,100,2.3
218,yulara,AU,2021-09-27 03:24:27,-25.2406,130.9889,91.24,8,85,16.11
219,mimarsinan,TR,2021-09-27 03:24:28,41.0032,28.5377,67.23,70,0,12.46
220,elat,IL,2021-09-27 03:24:28,29.5581,34.9482,76.84,69,0,9.22
221,selestat,FR,2021-09-27 03:24:29,48.2598,7.4565,62.71,94,0,4.61
222,rio grande,BR,2021-09-27 03:19:37,-32.035,-52.0986,61.95,93,3,7.56
223,victoria,HK,2021-09-27 03:23:22,22.2855,114.1577,87.85,76,46,5.01
224,souillac,MU,2021-09-27 03:24:30,-20.5167,57.5167,72.36,78,75,23.02
225,vila velha,BR,2021-09-27 03:24:30,-20.3297,-40.2925,73.35,78,75,5.75
226,te anau,NZ,2021-09-27 03:24:31,-45.4167,167.7167,49.89,38,0,1.88
227,cruzeiro do sul,BR,2021-09-27 03:24:31,-29.5128,-51.9853,66.51,92,0,0.78
228,cherskiy,RU,2021-09-27 03:24:32,68.75,161.3,28.98,83,100,17.22
229,aranos,NA,2021-09-27 03:24:32,-24.1333,19.1167,68.59,18,7,8.97
230,chapais,CA,2021-09-27 03:24:33,49.7834,-74.8492,44.38,96,72,5.21
231,buenaventura,CO,2021-09-27 03:22:10,3.8801,-77.0312,77.0,94,97,2.17
232,dakar,SN,2021-09-27 03:24:34,14.6937,-17.4441,80.73,94,0,0.0
233,peace river,CA,2021-09-27 03:23:03,56.2501,-117.286,48.51,100,20,12.66
234,provideniya,RU,2021-09-27 03:19:45,64.3833,-173.3,39.31,60,0,6.71
235,coquimbo,CL,2021-09-27 03:24:35,-29.9533,-71.3436,55.13,87,0,3.44
236,islamkot,PK,2021-09-27 03:24:35,24.6997,70.177,84.67,66,28,9.24
237,olga,RU,2021-09-27 03:24:35,43.7444,135.2892,66.29,70,68,7.4
238,kilis,TR,2021-09-27 03:24:36,36.7161,37.115,52.03,35,26,3.47
239,yangshan,CN,2021-09-27 03:24:36,28.7615,115.0287,88.32,55,32,2.98
240,fukue,JP,2021-09-27 03:24:37,32.6881,128.8419,80.96,69,40,6.91
241,tselinnoye,RU,2021-09-27 03:24:37,53.0833,85.6667,32.4,94,100,8.66
242,caarapo,BR,2021-09-27 03:24:38,-22.6342,-54.8222,75.02,45,0,4.23
243,hambantota,LK,2021-09-27 03:24:38,6.1241,81.1185,82.74,78,75,21.85
244,artemisa,CU,2021-09-27 03:24:39,22.814,-82.7561,75.38,86,2,6.46
245,inverell,AU,2021-09-27 03:24:39,-29.7833,151.1167,71.11,48,62,5.99
246,san patricio,US,2021-09-27 03:24:40,28.017,-97.5169,79.83,67,67,9.4
247,alice springs,AU,2021-09-27 03:23:05,-23.7,133.8833,92.75,7,53,14.97
248,emerald,AU,2021-09-27 03:24:41,-23.5333,148.1667,86.14,32,0,19.57
249,fereydun kenar,IR,2021-09-27 03:24:41,36.6864,52.5225,59.31,75,0,7.45
250,sargatskoye,RU,2021-09-27 03:24:41,55.6101,73.4972,36.45,86,43,13.18
251,luderitz,NA,2021-09-27 03:24:42,-26.6481,15.1594,58.28,91,68,19.28
252,adrar,MR,2021-09-27 03:24:42,20.5022,-10.0711,89.82,15,0,9.48
253,santiago del estero,AR,2021-09-27 03:21:30,-27.7951,-64.2615,70.81,29,0,7.43
254,sioux lookout,CA,2021-09-27 03:22:30,50.1001,-91.917,52.18,76,1,3.44
255,abu dhabi,AE,2021-09-27 03:23:49,24.4667,54.3667,89.62,48,97,5.75
256,mugla,TR,2021-09-27 03:24:43,37.2303,28.3557,50.67,43,78,4.41
257,bara,NG,2021-09-27 03:22:11,10.3744,10.7288,71.64,90,68,6.85
258,providencia,MX,2021-09-27 03:24:44,28.7167,-111.5833,85.86,40,2,8.39
259,iesolo,IT,2021-09-27 03:24:44,45.5331,12.6448,66.24,85,100,5.3
260,tolga,DZ,2021-09-27 03:24:45,34.7222,5.3785,81.41,46,45,6.31
261,namibe,AO,2021-09-27 03:24:46,-15.1961,12.1522,62.4,89,63,5.19
262,keshod,IN,2021-09-27 03:24:46,21.3,70.25,81.05,81,94,4.41
263,kununurra,AU,2021-09-27 03:24:47,-15.7667,128.7333,96.78,28,41,4.61
264,saskylakh,RU,2021-09-27 03:24:47,71.9167,114.0833,35.29,98,100,13.11
265,pehowa,IN,2021-09-27 03:24:48,29.9833,76.5833,80.49,73,0,3.11
266,grand-santi,GF,2021-09-27 03:24:48,4.25,-54.3833,73.26,86,24,2.51
267,krasnodon,UA,2021-09-27 03:24:48,48.2923,39.7373,46.42,88,7,12.86
268,galesong,ID,2021-09-27 03:24:49,-5.3166,119.3661,89.62,59,15,1.92
269,tvoroyri,FO,2021-09-27 03:24:50,61.5556,-6.8111,49.39,86,100,12.28
